"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",3653,3876,4139,4376,4604,4923,5019,5045,5155,5329,5248,5462,5610,5665,5918,6079,6255
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",2810,3026,3269,3482,3643,3795,3814,3761,3842,3931,3862,4046,4178,4240,4506,4681,4829
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting",37,19,29,25,19,32,49,53,59,52,43,31,43,35,44,45,46
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",32,14,25,21,14,25,42,45,51,45,36,25,37,28,36,38,"(NA)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities",6,5,4,4,5,7,7,7,8,7,7,7,7,7,8,7,"(NA)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction",3,2,4,5,9,12,10,10,10,13,11,13,13,13,14,13,13
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)",3,2,4,5,9,12,10,10,10,13,10,13,13,13,14,13,"(NA)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining",0,0,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",93,111,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction",190,201,230,260,265,282,260,247,242,239,229,252,253,277,302,326,348
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","12","31-33","  Manufacturing",399,382,366,348,364,396,410,402,413,419,416,392,413,416,407,426,434
"28740","Kingston, NY (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","13","321,327-339","   Durable goods manufacturing",238,232,215,236,237,246,264,263,254,262,270,264,290,282,289,289,292
