"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",5879,6037,6167,6352,6844,7255,7405,7692,7743,7432,7515,8294,8822,9547,10485,11106,11446
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",5327,5443,5523,5671,6123,6491,6574,6796,6838,6509,6561,7359,7843,8526,9379,9930,10231
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)",339,283,241,197,301,304,240,"(D)","(D)","(D)","(D)","(D)","(D)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",216,233,187,151,238,150,107,70,173,155,106,311,291,254,119,131,"(NA)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)",101,133,134,127,128,149,135,"(D)","(D)","(D)","(D)","(D)","(NA)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)",24,28,31,52,38,34,17,11,"(D)","(D)","(D)","(D)","(D)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(L)",3,15,"(D)","(D)","(D)","(D)","(D)",7,1,4,2,"(L)",0,"(NA)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(D)","(NA)"
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",23,36,"(D)",48,40,46,57,77,75,78,83,"(D)",68,73,69,73,78
"34900","Napa, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction",382,405,385,413,415,449,463,435,376,378,317,310,412,528,645,644,676
