"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",13926,13398,14140,15173,17355,20799,22807,23895,23196,24773,27673,27817,26920,26426,23776,21500,22114
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",12826,12213,12864,13812,15925,19257,21265,22282,21471,22959,25820,25950,25090,24641,21891,19578,20162
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)",78,122,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",241,201,"(D)",149,"(D)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",76,58,99,100,73,89,110,220,168,188,180,168,199,153,103,103,"(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)",19,23,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",43,47,"(D)",46,"(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction",3336,2408,2744,3331,4024,5722,6358,6806,5930,6423,7962,7261,6146,5278,3306,2456,2745
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3490,2515,1229,868,"(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",92,133,162,"(D)","(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining",1977,1567,1622,"(D)","(D)",2848,2977,3097,2290,2356,2430,2467,2564,2629,1915,"(D)","(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",143,134,138,141,147,168,170,185,"(D)","(D)","(D)","(D)",146,162,160,161,185
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction",644,625,697,756,807,990,1057,1061,1104,970,1012,1139,1149,1118,1072,921,902
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","12","31-33","  Manufacturing",882,955,989,1063,1358,1625,1921,1941,1917,2310,3044,2679,2734,2891,2496,2088,2046
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","13","321,327-339","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)",848,1091,1082,993,1031,1217,1352,1445,1650,1357,1091,1133
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","14","321","    Wood product manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",14,"(D)",14,8,"(NA)"
"29180","Lafayette, LA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","15","327","    Nonmetallic mineral product manufacturing","(D)",19,"(D)",22,"(D)",15,"(D)","(D)",21,16,18,17,20,21,22,"(D)","(NA)"
