"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",14727,15611,16955,18992,21803,23472,25529,29115,26714,28477,30290,31479,31030,30205,28069,27249,27963
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",11905,12535,13656,15522,18093,19567,21439,24976,22354,23924,25548,26525,26168,25200,23033,22227,22964
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)",27,30,32,37,"(D)","(D)",48,59,48,67,81,92,113,104
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",15,16,13,13,12,11,9,6,7,7,5,7,7,8,8,6,"(NA)"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)",15,19,21,28,"(D)","(D)",41,54,41,60,73,85,107,"(NA)"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction","(D)",1774,2118,3375,5110,6314,7629,10345,6798,7402,8294,8474,7972,6615,3686,2753,3467
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction",1649,1705,2066,3200,4927,6030,7295,9933,6509,7054,7855,8092,7580,6173,3226,2396,"(NA)"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)",7,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4,18,25,21,"(D)","(NA)"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)",44,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",378,374,416,439,"(D)","(NA)"
"11260","Anchorage, AK (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",149,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",251,278,"(D)",262,255,262,260,264
