"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",5579,5668,6046,6629,7802,9128,10114,11407,9907,10771,10648,11090,11292,11622,10545,9718,10234
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",5066,5135,5496,6083,7230,8538,9480,10750,9210,10034,9934,10359,10545,10847,9739,8891,9381
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting",72,85,76,84,60,46,48,35,32,51,33,64,80,96,101,82,76
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",54,69,63,69,47,31,33,21,21,39,23,52,70,85,90,71,"(NA)"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities",18,16,13,14,13,15,15,13,11,12,10,12,10,10,11,11,"(NA)"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction",651,591,749,813,1364,1880,2250,3241,1886,2031,2330,2232,2320,2421,1666,1124,1453
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining","(D)",183,251,"(D)","(D)","(D)","(D)",870,605,724,994,1001,894,954,676,441,"(NA)"
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",220,205,221,242,264,319,303,332,382,392,345,354,371,419,425,414,394
"30980","Longview, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction",288,308,328,358,428,472,546,598,635,743,702,798,809,824,862,926,828
