"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",101789,106801,111399,119403,129032,135888,141877,144779,147571,152626,158154,162776,167270,173073,178895,186856,192178
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",82793,86434,90280,96223,104417,109574,114417,116481,118193,121476,125398,129262,133352,138041,142626,150054,154324
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",254,198,"(D)",186,179
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",163,172,129,160,135,135,125,143,157,153,190,212,221,161,116,141,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",33,36,"(D)",44,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",87,"(D)",106,93,147
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)",1,"(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",77,89,98,84,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",10,"(D)",8,9,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3648,3678,3624,3678,3239
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction","(D)","(D)",5623,6270,6824,7076,7185,6796,6138,5816,5925,6133,6777,"(D)",7821,8402,8506
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","12","31-33","  Manufacturing",8737,9049,8403,8701,8319,8897,9192,9696,10476,10869,10962,10365,10877,10557,10256,10927,11760
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","13","321,327-339","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5370,5075,5037,5544,5972
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","14","321","    Wood product manufacturing","(D)",123,"(D)","(D)","(D)","(D)",115,98,102,83,93,"(D)","(D)","(D)","(D)",85,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","15","327","    Nonmetallic mineral product manufacturing",236,234,227,254,278,285,249,"(D)",195,"(D)","(D)",203,278,310,341,334,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","16","331","    Primary metal manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",66,70,71,69,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","17","332","    Fabricated metal product manufacturing",523,476,501,488,546,532,566,587,"(D)",488,415,"(D)",418,427,425,453,"(NA)"
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","18","333","    Machinery manufacturing","(D)","(D)",572,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
