"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",7869,8091,8673,9901,10644,10876,12110,11982,11224,12687,14057,13188,14186,15238,14948,16075,15360
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",6345,6451,6932,8044,8666,8800,9852,9581,8790,10225,11531,10666,11584,12553,12090,13044,12228
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)",1209,1438,2171,2373,1640,2635,2191,1569,2350,3242,2854,3528,4295,3112,3240,3045
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",1178,778,962,1726,1872,981,1951,1481,821,1501,2308,1942,2590,3330,1929,1959,"(NA)"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)",431,476,445,502,659,684,710,747,849,934,912,938,966,1183,1281,"(NA)"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction","(D)",5,10,13,17,20,21,29,14,16,22,24,22,22,11,10,16
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)","(D)","(D)","(D)","(D)","(D)",10,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining",0,0,"(D)","(D)","(L)","(D)","(L)","(L)","(L)","(L)","(L)","(D)","(D)",1,"(D)","(D)","(NA)"
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",81,131,149,188,181,210,231,239,260,281,286,252,245,266,298,301,296
