"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","1","...","All industry total",13442,14751,16351,19379,21492,23763,23600,22576,22201,21596,20723,21261,21858,23596,25821,27055,27953
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","2","..."," Private industries",11885,13087,14509,17310,19376,21461,20784,19615,19227,18487,17539,17943,18460,20071,22214,23236,24018
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting",100,104,112,108,103,91,78,83,92,127,130,135,145,169,178,173,121
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","4","111-112","   Farms",67,71,81,78,76,60,48,51,51,73,74,82,79,64,71,80,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities",34,33,31,30,27,31,30,32,41,54,56,53,66,105,107,93,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","6","21","  Mining, quarrying, and oil and gas extraction",20,19,18,22,20,26,61,26,18,7,4,5,11,84,77,73,64
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,"(L)","(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","8","212","   Mining (except oil and gas)",19,18,17,22,19,23,57,19,15,0,0,0,8,80,73,72,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)",2,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,1,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","10","22","  Utilities",191,233,251,366,389,472,508,467,498,464,446,411,436,416,407,413,442
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","11","23","  Construction",1439,1647,1866,2322,3124,3411,2852,1823,1608,1594,1564,1682,1124,1433,1807,2195,2368
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","12","31-33","  Manufacturing",398,420,553,845,878,888,657,466,362,471,533,522,696,624,669,594,627
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","13","321,327-339","   Durable goods manufacturing",309,329,404,683,729,712,509,342,280,377,421,392,564,492,511,385,437
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","14","321","    Wood product manufacturing",16,21,23,24,39,43,23,2,8,8,12,12,15,17,14,15,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","15","327","    Nonmetallic mineral product manufacturing",73,74,86,87,141,211,195,63,48,42,45,40,57,63,79,85,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","16","331","    Primary metal manufacturing",3,2,"(D)","(D)","(D)","(D)",5,7,1,2,3,7,5,"(D)",0,"(D)","(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","17","332","    Fabricated metal product manufacturing",34,28,59,62,107,94,61,45,42,76,73,55,80,72,69,66,"(NA)"
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area (millions of current dollars)","18","333","    Machinery manufacturing",40,45,79,46,51,70,61,67,52,42,52,54,192,158,138,74,"(NA)"
